"text","stars"
"Is this the diviest great restaurant on planet Earth? If a prison camp in China had a Michelin-level chef in for reeducation, and made him run the mess...","5"
"Lanzhou Noodle is a no frills, reasonably priced Chinese noodle joint located near but not in London's Chinatown. While it may not have much room, the...","4"
"Hands down the best bread and olives combinations that I had in London, beer good however not used to drink it warm, but the experience was worth it","5"
"After exploring London all day, I was trying to find a plaace to eat with my mother who was working in London. I found Queens Arms on Yelp and so glad I...","4"
"First time and London and I just had to get the fish and chips. The Queens Arms gave me everything I wanted in a pub in London:Food: So like I mentioned...","4"
"A great dining experience even in COVID times! We arrived at 4:45 right before they opened to get our name on the waiting app. We went to the pub across the...","5"
"Padella is easily one of my favorite pasta spots in London. I almost ALWAYS go to their Shoreditch location though as it was next to my flat and the wait is...","5"
"I got their beef ragu papardelle to-go. It's not bad, but not the best pasta I've ever had. The beef was tender, but there wasn't a very generous amount of...","3"
"While traveling through London my husband wanted to try traditional afternoon tea and thankfully Yelp led us here! The English Rose is right in the theater...","5"
"Apparently we stumbled upon a pretty popular place for tea for two without knowing it.  Just wanted to get out of the cold weather for a bit and have a cup...","4"
"Very cute place in London. Not a high end tea shop but a a nice alternative if you're looking for a low cost place. Brought my parents here who are not big...","4"
"Been wanting to visit here for years, and whilst I often stay near by I'd never managed it - until today!It's a great tradition London greasy spoon!...","5"
"I have to thank this cafe for introducing me to the traditional English breakfast many years ago. I've tried many since then and although some have been...","5"
"This has been our second time visiting this cafe and we feel that we would be regulars here if we lived in London. It's definitely worth the stroll from the...","5"
"It would be hard to go to London and not dine at Bocca Di Lupo now that I've been here twice (er... technically three times as I came for dinner and later...","5"
"The pasta with mussels is the most delicious thing I've ever tried. Very balanced taste. I would definitely go again. My son also loved his dessert.","5"
"Good food:We ordered the:Chicken scallopini  - great Watermelon, onion and oregano salad - good Courgette flower stuffed with mozzarella & anchovy -...","3"
"Every single time in in London I have to go to the Wolseley. I wish photos would do the place justice. Great food, great atmosphere. Can't wait to get back...","5"
"I experienced my first tea time here a year ago. It is a beautiful place.Afternoon tea time included yummy desserts, sandwiches, scones and tea. We ordered...","5"
"The Wolseley is certainly a grandiose way to ""lunch in London.""Situated in the historic 160 Piccadilly building, this former Wolseley Motors luxury car...","5"
"I always start with the standard slice at any shop to get a feel for their pizzas. This one was phenomenal!The pizza was crispy and the dough was flavorful...","5"
"If my mom suggests, on her own volition, to purchase a whole second pie after having demolished one whole pie (which sufficiently feeds 4 adults), because...","5"
"£4 for a slice of gourmet deliciousness, what's not to like!?Homeslice is a great thin crust pizza place with options for slices or whole pies. Note that...","5"
"10/10 recommend!Good cocktails to have as an aperitif. The NOPI Negroni was very good. The starters are great for sharing with really creative and...","5"
"This restaurant was recommended by my brother-in-law. He owns the chef's cookbook and the recipes are incredible! So we had to try it out. Since it was...","5"
"This is my second time at NOPI and I really was not impressed this time. All the starters were cold and the chickpea omelette fell pretty flat. The sides...","2"
"We loved this place. The food was good, but the service was impeccable. I was surprised by some of the negative reviews, especially about the service. They...","5"
"Food was decent. The Tom Yam Gaang soup was not salty enough and quite spicy. Songkhla Beef curry flavorful but overwhelmed any other flavors. Service...","3"
"A delightful experience for one. I did have to wait outside for a spot, but that is to be expected on a bank holiday. I went wanting spice and they surely...","3"
"Asked the gentleman running the place to give me his favorite menu item, and it did not disappoint. He was very friendly and took his time putting my order...","5"
"Great little breakfast spot London. Our first time visiting London and across the street from our AirBnb was this little gem. Waitress was a super friendly...","5"
"I love the five stars reviews... not because of the food, but because they're the easiest to write.It was our last day in London and shockingly, we hadn't...","5"
"Wow, a great spot. Super busy, even on a Monday night! Be prepared to queue unless you get here early, they have some back bar spots to hang with drinks...","5"
"Oh man, so let me just say, don't count this place out just because there's several locations. It really is like a bit of Spain in London. The items here...","5"
"You know when you have something at a restaurant, and thinking about it days later still makes your mouth water? Whelp, that is how I feel about the Pan con...","5"
"This is one of the few of not only Okonomiyaki places in the UK, and after having lived in Osaka I had to come here, so me and my partner came for lunch of...","5"
"This place was amazing! Some of the best service we have ever received. Our waitress cooked everything for us on the grill. The okonomiyaki was delicious!...","5"
"Its very close to the British Museum. We have had okonomiyaki in Japan. If you are craving for okonomiyaki, this is the place to be. They have tons of...","5"
"The hype is REAL! The Golden Chippy is truly the best fish & chips in London!I'd like to preface this review that I'm the type of diner that does not...","5"
"Nice small place with great service.  I found this place on yelp and since it wasn't to far from our location, we decided to go and try it out.  The...","5"
"Throughout the years, I have had a fair share of fish and chips, but this place is by far the best. Service is outstanding, and staff make one feel like...","5"
"Love this little restaurant!We got the onion soup and the broccoli soup. I liked the onion soup a lot, especially the bread on top. The baguette served agh...","5"
"My girlfriend and I came here for a quick dinner before a show. It's puzzling to read all these rave reviews, which almost makes me wonder if we even dined...","3"
"Don't think you can go there if you love french cuisine, even if there is few good dishes about that, it's not a big deal.The service is quite disastrous,...","3"
"What a great burger, everyone had a great meal and delivery was excellent, not often your food arrived with Uber eats and you don't even have to warm it up...","5"
"In Soho you can find this very nice place to have a good burger of your choice. The bread was outstanding, the fries and the coleslaw were ok. En soho...","4"
"My go-to, especially after a long-haul flight. Do not be deceived by the burger that looks a bit small... it's the perfect portion and comes with a ton of...","5"
"Came here last night for a special xmas dinner with my boyfriend and had two servers: Estella and Simon, they were both so kind, excelled service and lovely...","5"
"I've heard lovely things from others about this place and we were lucky enough to be given a Secret Santa gift card to this restaurant. A bit posh, a bit...","4"
"We ate here over Christmas week.  It was very crowded and busy but our table was ready on time.  Service was a little slow but very accommodating to menu...","4"
"I went 6 years ago around this time. The BEST pot pie I've ever had. I'm from California, meaning I go to whatever British Pubs we have here which are good,...","5"
"Mother Mash was on my list even before I stepped into London for our travels. I had read an article about this place and it had sold me to come here. The...","3"
"Soho is full of culture and amazing places to stroll around, shop & eat! Bubble and squeak is a traditional British breakfast made from boiled potatoes...","5"
"I visited Dishoom during my recent London trip (pre-COVID) and can't wait to go back.I went for breakfast and got the vegan Bombay; it was the best vegan...","5"
"I've thought about this meal at least once a week for the last year.  After telling 3 or 4 friends about an upcoming trip to London, every single person...","5"
"Make sure to get a reservation! Or else you might be out of luck. I don't particularly like Indian/Asian Fusion cuisine, however this is the one place where...","5"
"Unmatched flavors and service!Highly recommended ... if you can get a table!The counter is just as good as a table","5"
"A small crowd began forming in front, an hour before they'd open.  It began drizzling and to escape it I went to a nearby pub but only for a quickie; the...","5"
"A couple of things to keep in mind with this review:1) It has been exactly one year since we dined here during our trip to London (thanks Timehop)2) we...","5"
"Cocktail bar with restaurant at the back. Cool music that makes you want to stay. Very elaborate cocktails with smoke, liquid freezing ice and fire into the...","5"
"The Alchemist is located in the heart of Covent Garden area. One of my local friend recommend this place to me as I really enjoy the different speciality...","5"
"preamble:  This review is lunch for two at 1pm on a Tuesday.  The Alchemist appears to be a serious craft cocktail bar, so expect a completely different...","4"
"Visited London and told the wife that we had to go get a good Sunday roast. Heard about this place on food videos and decided to come check this place out...","5"
"Food: 10/10Service:10/10Wait time: we made a reservation My husband and I came for Sunday roast! We really enjoyed our meal here it was one of our...","5"
"My first Sunday roast was here at Blacklock and I want more!!!Our party of 2 ordered the ""all-in"" which is a combination of beef, pork, and lamb. You must...","5"
"This pizza is very tasty. Definitely recommend this place. Thin crust.  All cooked on a Wood fired grill.I bought the bottomless pizza. 15 pounds. And...","5"
"I've been to 3 Gordon Ramsey restaurants so far and this one would be my 4th. Once again, it did not disappoint! The waitress/hostess was SO friendly....","5"
"We love pizza and really like Chef Ramsey. We had to try this and found it was a unique experience. They bring the pizza to you.  It was like a buffet style...","5"
"I would say I am pretty predictable when it comes to finding ramen places.  I ALWAYS try to go to at least one ramen place wherever I am.  It doesn't always...","5"
"I am so excited to write this review! Today I went to Shoryu Ramen for lunch and from the moment I walked in I knew it was going to be good! I went with a...","5"
"Inside the Kingly Court on Carnaby Street, this ramen place is simply amazing.  First of all my experience there was a 5-star.  The signature ramen was...","4"
"We came here years ago when the restaurant first opened and the only memory from that meal was a chicken dish coming to the table still pink in the middle....","5"
"I would advise you to point to this photo when you visit, order it, and thank me later.This is a delicious restaurant serving food from a region of China...","4"
"I heard so many great reviews about the restaurant and was excited to give it a try! And based on the somewhat unfriendly attitudes of the staff, I thought...","3"
"Great drinks with a cool Atmosphere. The ladies working here were very friendly and readily offered us suggestions, being were visiting the area. Drinks...","5"
"This was such a fun place!  A friend, who's a local, recommended it since it's her favorite spot.  I'd say it has a Jamaican/Caribbean vibe and is in the...","5"
"- One of the top off-island dining experiences when it comes to curried mutton, and they're not afraid ""fi lik yuh wid di flava and wid di peppah"".  I...","5"
"Service was impeccable and we enjoyed the ambiance and the food. Would recommend the strawberry shaved ice!!","5"
"There wasn't much available on the lunch menu. I think it's partly because the economy is just starting to pick up again and restaurants are finally...","4"
"I booked Jinjuu for a celebration family dinner after  postgraduate graduation hoping that they could accommodate 5pp and wouldn't be too noisy or...","5"
"We had an excellent Ramen lunch at Kanada-Ya. Even with CoVid we had a good experience. Thank you to the team!","5"
"10-14-2017Very authentic Japanese restaurant even though the name sounds like Canada. The chef's last name is Kannada and I think that is why the...","5"
"Took a last minute solo trip to London (summer 2019) and did no planning! Did a quick search on Yelp and came across Kannada-Ya; the reviews seemed...","5"
"Yep..fun place.  Lots of historical memoribilia.  Went for dinner after the theater..you really feel like you are in London circa 1940's.  Lots of...","5"
"The true WOW factor at Rules! I have been wanting to dine at Rules for over a decade and after numerous trips to England, I finally made it to London's...","5"
"Yassss to the oldest restaurant still standing  in England established  in 1978 and giving me Cheers/Pub/Poldark/Sherlock/very period  drama made!We had...","5"
"As of food concern, I experienced authentic flavours in the main and the desert. The value for money works great too, roughly £20 per person. The 'must...","4"
"It's been on my list to dine for a long time, and we finally managed it.  We visited there for a light dinner and ordered Cochinita Pibil Tacos and Mole...","3"
"I loved this place! As a Mexican it is hard to find authentic good Mexican restaurants in London. This place tops my list after tonight's dinner. We all...","5"
"Fascinating decor, attentive and friendly service, and the only place in London you can get the DKA - Dominique Ansel's take on the classic Breton ""kouign...","5"
"i am a huge fan of all things DA, this location did not disappoint! the decor was beautiful (treehouse themed as the name suggests) with a bright and airy...","4"
"I am a huge fan of Dominique Ansel! I love his cookbook ""Secret Recipes"" and I love visiting Dominique Ansel London which opened in 2016. I was very...","4"
"I knew from the moment I walked in, that Honey & Co was going to be the kind of place I liked. Small, friendly space and a short menu are both things that...","5"
"Wanted to try a different breakfast option while in London and this breakfast was different from what we are used to, not in a bad way, just different...","5"
"This place is a little small, but it's very popular. We came on a Monday morning for breakfast and we were surprised when they asked if we had a booking....","2"
"Duck & Waffle would make an amazing date spot at night. One of the tallest buildings in London + middle of downtown + transparent windows so you can see all...","4"
"I don't care what any of the negative reviews say, this place is the best. Make a reservation 3 months early when the system opens up. The views, food and...","5"
"I really didn't have plans for my actual birthday since I was going to a show later on the night and having had a massive dinner the night before. But my...","4"
"Dined here in 2016. Interior design is on point - clean lines and modern. Food served is like tapas style. Small plates, reasonably priced. Greek food here...","5"
"Amazing meal at OPSO! Every dish was so tasty- my highlights include the ceviche, feta kataifi, and pita with tzatziki. The octopus was also very good but...","5"
"Aww came here yesterday, and they've opened up an outdoor take out bar! It's very cute. Handwritten signs on cardboard signs for 8 pound cocktails served...","4"
"Such a fun place! Walk in and it's dimly lit and has a bar/club type feel. Then they take you downstairs and you're in an underground tavern/open room type...","4"
"Great food, interior, vibes, and excellent cocktails! A must go restaurant! The pork dish was really good, highly recommend it!","5"
"You arrive excited for some classic Belgian food and then your excitement declines rapidly. First, the wait time to be seated for your reservation was too...","2"
"Well... had to try this high end dim sum place and was not disappointed. - scallop shu Mai - my fave. Really good- har gau - honestly. It's hard to f...","5"
"An unexpected restaurant in London Chinatown neighborhood welcomes you to a refreshing modern Asian food. The decor is very modern and place settings carry...","4"
"Our last stop in London, and quite possibly one of the best one. Treat this as high end Asian tapas, you'll be ordering many, varied small plates and if our...","4"
"What I love about London is how much of a time capsule this city can be.  It's such an interesting city to explore.  One of my buddies from film school told...","5"
"I was so excited to try this place out after discovering it on Yelp looking for historical pubs and traditional British food. It is located right off the...","4"
"This was recommended to us through one of our tour guides and had good ratings in Yelp. It was easy to find through a GPS app and signs clearly sent you...","3"
"Walked past the queues several times, getting more curious each time. On my last attempt the kitchen had just closed. In luck at last and I'm munching my...","5"
"Food: Classic Bao, Fried Chicken BaoInteresting take on Taiwanese bao! The asian fusion approach is cool, and the store has a cute aesthetic. I tried the...","4"
"The best restaurant we tried while traveling throughout London. We ordered 3 appetizers to share for a group of 4 people and each ordered 2 baos and we were...","5"
"A famous and busy mayfair retreat clad in green and an unmistakable venue with what you expect from this established modern day classic Italian restaurant...","5"
"loved the place, the service & the food. I came many-times what stands out is rice salad, burrata, tagliatelle a la salmon, lobster spaghetti, crab...","5"
"Great pizza and super nice staff - I was the last person in the restaurant and they didn't even make me feel rushed. Love the ambiance here.","5"
"Catching up on reviews. Went for lunch in February; my last trip abroad before COVID lockdowns. Absolutely fantastic. I hadn't planned to go, but after a...","5"
"Service was excellent. Went for a birthday and had a great time! Thought rice and flesh was a little too salty after a while. But that's my only issue....","4"
"Dinner by Heston Blumenthal is located inside the Mandarian Oriental hotel. We arrived a few minutes before opening time at lunch, so the bartender took our...","5"
"Stopped at the restaurantMight be the best italian experience in londonThe beef roast was absolutely tastyAnd seafood phenomenal","5"
"Excellent food, excellent service in a very classy setting. Had truffle mushroom risotto to start with cheese and was delicious. Also bread board which was...","5"
"dropped bottled water on my pants and shirt, but still charged me for it? like enough water that i needed two cloth napkins to clean upvery pushy for...","2"
"I'm sad this is temporarily closed... they must be remodeling. This was one of my most memorable memories in London. The finger sandwiches and macaroons...","5"
"This review is for afternoon tea at the Pavilion, which is the location to go since the Orangery is being renovated right now.  We reserved a spot, but...","4"
"What's a trip to London without having afternoon tea? We got the royal tea and that was amazing. It tastes a little like earl grey and that's my favorite....","4"
"Love this place!! The dry lamb karahi is probably my favorite dish there. Lamb for me is a hit-or-miss at restaurants but at Tayyabs they definitely do it...","5"
"Warning. If there are clothes you love, do not wear them here. It'll end up smelling like the spices there for a couple days, if not a week. And just for...","4"
"Still the best Indian food I've had in my life so far!!! The queue will be at least 45 minutes during dinner time so get ready to wait.Grilled Lamb Chops...","5"
"Such a beautiful restaurant! I felt like I was walking into Christmas and the food was also delicious.","5"
"The ambiance is so good. Wow. SO romantic.I HATE their 'reservation' system, but I can't knock this place any stars because when we FINALLY did get in (on...","5"
"What a lovely Italian spot, and amazing for the 'gram! The ambiance is amazing and beautiful. I need that vibe in my future at home bar! The alcohol wall...","4"
"Not too much to say about this restaurant other than magnificent food, service and atmosphere. About £100 pp, 3 courses with an aperitif and a bottle of...","5"
"I am allergic to seafood.  So, why would I go to Scott's, a beacon of seafood fine dining?  Well, I heard the service was excellent and I remember seeing...","4"
"Had a wonderful experience. The staff was top notch! So attentive and every detail was handled with extreme care. Started with scallops on the shell,...","5"
"What can i say about Seoul Bakery? It is my favourite korean restaurant.I went to London and i was craving for korean food and i had the best time there....","5"
"Superb place, i went to many Bakery around the city, but was not satisifed. One of my friend recommended this Bakery and i really find it...","4"
"When I went to London for the first time a few months ago I wanted something different from European food and the thought of fish and chips just wasn't...","5"
"Best fish and chips I've ever had. I had the Cajun Fish and it was perfect. The chips were fresh slices of potatoes and the sauces were homemade. Portions...","5"
"The fish and chips were okay here.  My husband was a little surprised because it was made out of ""real"" fish lol.  The fish came from fillet where they kept...","4"
"THIS is THE place for fish and chips in London! I ate dinner here for the second time during my most recent trip to London. Hook is located in Camden...","4"
"G was a wonderful server. She was kind and bubbly and fun! We had the burger and lobster combo with a side of salad and fries to split. Our cocktails were...","5"
"I oredered a Burger&Lobster DIY kit because of the other reviews, and on the day of delivery I got a 2-hour time window. I decided to stay in to wait for it...","1"
"Food: B&L ComboThe Burger and Lobster Combo is a great pick if you want to get a variety of foods with a lobster, burger, chips, and salad included. We...","4"
"Modern & English, The Ledbury is a fantastic example of ""I've never had that before, but it's the best version of whatever I just ate."" The Ledbury is...","5"
"Coming here, we had the highest expectations for the food, and that might've been its downfall. We ordered 8 courses and got 3 complimentary appetizers...","4"
"Totally worth the $$$$Fine dining at its bestDress to impress ladies!We had Jeremy from BBC top gear sitting next to us, made my husbands night  Service...","5"
"Bageriet is a lovely little spot in Covent Garden. As a lover of Scandinavian style cinnamon roles and Bageriet has one of my favorites in London. The...","5"
"Super small, like being in someone's 1-bedroom apartment kitchen. Some customers seem to think its a good idea to plonk themselves down with a book and...","3"
"I visited here with one goal: a slice of Princess Cake, which is very difficult to find in America (outside of the little frozen version from Ikea). I've...","4"
"Hoppers might be one of my true loves if I'm being honest. I live for their bone marrow varuval and egg hoppers with coconut chutney and mutton curry. Also...","5"
"They didn't offer reservations so i assumed showing up at 9pm we would never get in... but sure enough 45 minutes last we got a text that our table was...","5"
"What a cool experience. We queued extra early to get a seat at the bar. They only take reservations for 4 or more and we're quite busy. Once we got there we...","5"
"How lovely to be able to enjoy a Sunday roast during these difficult COVID-19 times. They are meticulously careful about distancing and keeping their...","5"
"I started a review for this pub in February when we were visiting London, and logging in during a pandemic a mere nine months later I see that it never...","5"
"My current favourite chill afternoon place for a pint in Oxford. Staff are super friendly and their system for ordering is fairly easy to use. Halloumi...","5"
"Very authentic Japanese food at a pretty good price, especially from their lunch special! Highly recommend their udon - great broth and so many sides! Eel...","5"
"A little bit pricey, but good nonetheless! I got the japanese curry chicken katsu - definitely tastes like authentic japanese curry and not chinese/indian...","4"
"As another reviewer says, this is an undiscovered gem! Hidden away inside an arcade, it was filled on a weekday evening with mostly Japanese patrons....","5"
"This place is tucked upstairs in a shopping store or mall, I couldn't figure it out.  Anywho, they put out some really good food.  The lobster roll was...","5"
"Who knew that such a small looking and fairly expensive burger could feel artery clogging and satisfying at the same time? Burger & Lobster is exactly as it...","4"
"First time eating at Burger and Lobster, but certainly  not the last! I found the restuarant by searching Yelp for restaurants near the Museum of Natural...","5"
"My boyfriend and I stopped by this location while we were in Europe. We loved it! It was pricy but the food was amazing so we won't complain. The price...","5"
"After walking past San Carlo Cicchetti so many times on various trips, I decided to check it out for lunch. It was really busy around 1-2pm and smelled of...","4"
"This pasta place was very very bland! The pasta was mediocre and the meat and seafood was really basic. I wasn't expecting anything special but there seemed...","3"
"We visited Mr Fogg's while barhopping our way through London on our first night. We got two Gin and tonics and had a great chat with the very friendly...","4"
"Whilst walking around the Covent Garden area, i came across Mr. Fogg's. It's old, it's got history, and it makes references to Liver Twist. I had a quick...","4"
"Great place. Convenient location. Stopped in for drinks while we were waiting for our table upstairs at Mr. Fogg's Gin Palour. Good selection of drinks and...","5"
"On my first trip to London, our only plans were to visit the major sites, eat local food, and wing it. Found this place on Yelp on our first night and have...","5"
"""Had a great time at dirty bones. Appreciate the service from Adrienne.""","4"
"Dirty Bones is an NYC-inspired food and cocktail concept which has blossomed into a foursome of branches spread across London. This Kensington Church Street...","3"
"This place is incredibly cheap. I ordered the beef curry rice and the chicken katsu rice. The bill came out to be roughly 15.Food quality is warm and...","4"
"Gah I'm torn about this place.  After a long day at the office and travelling I felt ravenous. Seeking out what was hot in the area I came across this place...","3"
"Misato is easy to miss from the street, but it'd be a shame if you did! In a city where large, comforting portions in a thoroughly unpretentious setting can...","5"
"Impressive meal in an impressive tavern in London!  One of my colleagues in our London office planned a dinner for us while on business in September and he...","5"
"Met some friends for brunch at this gorgeous spot! So much art, decor and ambiance to enjoy your stay!  I wouldn't recommend the fish and chips as it's a...","4"
"We came here for a work dinner and I found the food to be quite good with a very elegant decor. The only downside was that we found service a bit slow,...","4"
"Dined here pre-Covid-19 on my last 2 trips to London - multiple times each trip!  Sunday roast is amazing - still dreaming about it.  Lovely ambience,...","5"
"So came here on a whim because it was close by our hotel and boy were we in for a surprise. I believe reservations are preferred but went in anyways. Had a...","5"
"Made a special trip here from Richmond after seeing all the great reviews. We both love Sunday roast so were looking forward to it.  Not sure if we caught...","3"
"Amazing place. Always great, delicious, and fresh food.Noodled and roti are their best.","5"
"So excited to read about Roti King. Ever since going to KL last year to stay with friends parents who introduced us to breakfast roti (every day!) we'd...","5"
"I really wanted to love Roti King. I came 3,550 miles to stand in a queue for over an hour in anticipation of this magical roti that everyone posts about....","2"
"One of my favorite restaurants in London! I went in December 2019, and it was the best meal I had in London. I went at lunch-time to Hide Above for the...","5"
"If I could give them 6 stars I would. Crowned with a Michelin Star in 2019, Hide is British/French influenced cuisine. Mind you, this review is only for...","5"
"When I travel, I like to splurge at least once on a nice meal. Hide was on my radar as I was staying on Park Lane and walked by it a handful of times...","5"
"I pretty much have an undying love for kiln. I discovered them over the summer and have been going back constantly ever since. I love the rotating menu but...","5"
"Awesome place for Thai food!We had almost everything on the menu and all the dishes were incredibly tasty, well balanced and made with top ingredients....","5"
"Environment: Limited seating and busy til they close on a Thursday night! (Crazy!) We got lucky and they had us seated in a corner towards the back - facing...","5"
"4.5 stars if I could!My mom and I came on New Year's Eve and managed to actually book a table. Apparently it was all booked up for the rest of the night...","5"
"My Spanish friend took us here. He was familiar with everything here, so we let him exercise his executive decisions.As the name suggests, their thing is...","4"
"After two months of eating my way through London this was my least favorite culinary experience. I wanted to love this place -- very cool restaurant with...","2"
"This is an excellent French restaurant in London. There is a small dining area when you walk in, but I highly recommend you walk downstairs to the larger...","5"
"If you ever wanted to experience eating at a large, bustling Parisian brasserie during the Roaring Twenties, this is the place to be. I loved the Art Deco...","3"
"A very nice French restaurant. The appeal to this place their very affordable selected 2/3 course meal of Carottes Râpées, Steak Haché with fries, and...","4"
"Fantastic.Everything you want from your bibimbap - hot stone bowls, large Gochujang containers, tons of veggies.My wife and I each got Bibimbap- she got...","5"
"With five million-ish restaurants to choose from in the theater district, I had no idea where to start and decided to turn to Yelp to help choose. I've been...","3"
"My boyfriend and I shared one bibimbap and one kimchee pancake dish. The portion of them just was perfect for us!! Reasonable price and authentic Korean food!","5"
"Barrafina is my fav in the world. That's right - the WHOLE WORLD. There's not a visit to London that goes by now without me stopping in. I've been lucky to...","5"
"Simply Amazing. Best food we ate in London. Very authentic Spanish tapas. The flavors were out of this world. If I could give 10 stars, I would.","5"
"Elegant tapas with a creative, ever-changing menu, wonderful wine selection, and one Michelin star, Barrafina is absolutely of the best restaurants in...","5"
"I am a big fan of Japanese food and Roka is a big hit in my book... you pay a hefty price but it is well worth.I would certainly recommend the Tasting...","5"
"Expensive, classy Japanese fare in the heart of Fitzrovia. You'll pay a hefty price for this meal, but it's worth it for special occasions. The dishes we...","4"
"ok, it's ok - but despite its claim, it's not Japanese.  The atmosphere is friendly, modern and inviting.  The cooks constant shouting of ""Hey!"" on the...","2"
"Loved the concept and food. If you are on budget and want to try out something different then this is the spot. You have to be careful with picking the...","5"
"Super good. Found through a simple walk by. Pretty long line got my attention and everyone sitting outside enjoying intrigued me. I checked out the menu and...","5"
"Absolute fire. Great spot for some noodles on a cold day. Sauces are excellent, all food is high quality. Highly recommend.","5"
"Hungry traveler approved! 3.5 stars.  I landed in London rather late and I was having trouble finding a place that still served dinner at almost 11pm (as a...","4"
"If I could give this place 10 stars I would. This place has great food with a unique concept. Our waitress was super nice and gave us a free dessert. You...","5"
"Besides a fondue restaurant, I've never cooked my own food at a restaurant.  Here when you order a steak, you cook it at your table.  It was fun, albeit a...","4"
"Excellent food,was with 2 teenage kids, a great DIY grilling experience, we all loved it.The service was lovely, and the facilities clean and elegant.","5"
"This is my worst dining experience ever! A green big worm serving in a chicken karaage. The waitress apologized but not sincerely, and how ""generous"" of...","1"
"The quality of the meat and vegetables are good! Bibibom is great hut a little bit oily. The desert is very interesting.","4"
"Was excited to find a BBQ place in London! Lot of reviews said to make reservations, but we went on a Thursday night and didn't need one. We got a 1/2...","4"
"Pretty mediocre Texas style BBQ, especially if you've had a chance to try the real deal. It'll get the job done to satisfy those meat cravings, but don't...","3"
"I never thought there would be great American Texas style BBQ in London but boy I was proven wrong!I had the Jacob's Ladder which was fall off the bone...","4"
"preamble:  This review is dinner for two on a Wednesday.  We waited maybe a half hour.  Expect longer on the weekends!  They don't take reservations and if...","5"
"Recently visited London on vacation and on a friend's very high recommendation we decided to give this place a shot even though no reservations were...","5"
"BEST MEAL IN LONDON HANDS DOWN!We were blown away how delicious the food was here. I'm talking about eye popping, jaw dropping DELICIOUS. I know almost...","5"
"Amazing choice if ur tired trying to eat food food    And continue shopping .. loved it  friendly staff.. calming  Atmosphere .. chilling is my current mood...","5"
